,State Case,Age,Sex,Drinking_Involvement,Drugs_involvement,Injury_Severity,Race_Involvement,Rollover,Case Year,Weather,Light_Type,Clear,"Fog, Smog, Smoke",Weather Not Reported,Rain,Snow,Dark,Dawn/Dusk,Daylight
169,10201,47,1,2,2,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
170,10057,47,1,0,0,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
171,10568,48,1,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
172,10039,48,1,0,2,3,0,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
173,10523,48,1,0,0,4,1,0,2014,Clear,Dawn/Dusk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
174,10405,48,2,0,0,2,0,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
175,10106,48,2,0,1,4,1,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
176,10397,49,1,0,0,1,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
177,10134,49,1,0,2,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
178,10052,49,1,2,2,4,1,0,2014,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
179,10463,49,2,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
180,10026,49,2,2,2,4,1,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
181,10285,50,1,2,2,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
182,10652,50,1,0,0,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
183,10276,50,2,0,0,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
184,10123,51,1,0,0,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
185,10123,62,1,0,0,1,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
186,10140,51,2,0,0,4,1,0,2014,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
187,10411,52,1,0,0,2,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
188,10002,52,1,1,0,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
189,10006,52,2,0,0,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
190,10350,53,1,2,2,1,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
191,10479,53,1,0,0,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
192,10104,53,2,2,2,4,1,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
193,10084,54,1,1,2,2,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
194,10686,54,1,1,1,3,0,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
195,10215,54,1,0,0,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
196,10320,54,2,2,2,4,1,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
197,10220,55,1,2,0,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
198,10103,55,2,0,0,2,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
199,10048,56,1,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200,10048,67,1,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
201,10126,56,1,2,2,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
202,10325,57,1,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
203,10266,57,1,1,0,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
204,10144,57,2,2,2,3,0,0,2014,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
205,10303,58,1,2,2,4,1,0,2014,Rain,Dawn/Dusk,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
206,10536,58,2,2,2,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
207,10575,59,1,0,0,2,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
208,10475,59,1,2,2,4,1,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
